vce	Ic(Q1)
-4.000000000000000e+00	-1.632786e-03
-3.970000000000000e+00	-1.631524e-03
-3.940000000000000e+00	-1.630262e-03
-3.910000000000001e+00	-1.629000e-03
-3.880000000000001e+00	-1.627739e-03
-3.850000000000001e+00	-1.626477e-03
-3.820000000000001e+00	-1.625215e-03
-3.790000000000001e+00	-1.623953e-03
-3.760000000000002e+00	-1.622692e-03
-3.730000000000002e+00	-1.621430e-03
-3.700000000000002e+00	-1.620168e-03
-3.670000000000002e+00	-1.618907e-03
-3.640000000000002e+00	-1.617645e-03
-3.610000000000003e+00	-1.616383e-03
-3.580000000000003e+00	-1.615121e-03
-3.550000000000003e+00	-1.613860e-03
-3.520000000000003e+00	-1.612598e-03
-3.490000000000003e+00	-1.611336e-03
-3.460000000000004e+00	-1.610074e-03
-3.430000000000004e+00	-1.608813e-03
-3.400000000000004e+00	-1.607551e-03
-3.370000000000004e+00	-1.606289e-03
-3.340000000000004e+00	-1.605028e-03
-3.310000000000004e+00	-1.603766e-03
-3.280000000000005e+00	-1.602504e-03
-3.250000000000005e+00	-1.601242e-03
-3.220000000000005e+00	-1.599981e-03
-3.190000000000005e+00	-1.598719e-03
-3.160000000000005e+00	-1.597457e-03
-3.130000000000006e+00	-1.596196e-03
-3.100000000000006e+00	-1.594934e-03
-3.070000000000006e+00	-1.593672e-03
-3.040000000000006e+00	-1.592410e-03
-3.010000000000006e+00	-1.591149e-03
-2.980000000000007e+00	-1.589887e-03
-2.950000000000007e+00	-1.588625e-03
-2.920000000000007e+00	-1.587363e-03
-2.890000000000007e+00	-1.586102e-03
-2.860000000000007e+00	-1.584840e-03
-2.830000000000008e+00	-1.583578e-03
-2.800000000000008e+00	-1.582316e-03
-2.770000000000008e+00	-1.581055e-03
-2.740000000000008e+00	-1.579793e-03
-2.710000000000008e+00	-1.578531e-03
-2.680000000000009e+00	-1.577270e-03
-2.650000000000009e+00	-1.576008e-03
-2.620000000000009e+00	-1.574746e-03
-2.590000000000009e+00	-1.573484e-03
-2.560000000000009e+00	-1.572223e-03
-2.530000000000010e+00	-1.570961e-03
-2.500000000000010e+00	-1.569699e-03
-2.470000000000010e+00	-1.568438e-03
-2.440000000000010e+00	-1.567176e-03
-2.410000000000010e+00	-1.565914e-03
-2.380000000000011e+00	-1.564652e-03
-2.350000000000011e+00	-1.563391e-03
-2.320000000000011e+00	-1.562129e-03
-2.290000000000011e+00	-1.560867e-03
-2.260000000000011e+00	-1.559605e-03
-2.230000000000012e+00	-1.558344e-03
-2.200000000000012e+00	-1.557082e-03
-2.170000000000012e+00	-1.555820e-03
-2.140000000000012e+00	-1.554559e-03
-2.110000000000012e+00	-1.553297e-03
-2.080000000000013e+00	-1.552035e-03
-2.050000000000013e+00	-1.550773e-03
-2.020000000000013e+00	-1.549512e-03
-1.990000000000013e+00	-1.548250e-03
-1.960000000000013e+00	-1.546988e-03
-1.930000000000013e+00	-1.545726e-03
-1.900000000000013e+00	-1.544465e-03
-1.870000000000013e+00	-1.543203e-03
-1.840000000000013e+00	-1.541941e-03
-1.810000000000013e+00	-1.540680e-03
-1.780000000000013e+00	-1.539418e-03
-1.750000000000013e+00	-1.538156e-03
-1.720000000000013e+00	-1.536894e-03
-1.690000000000013e+00	-1.535633e-03
-1.660000000000013e+00	-1.534371e-03
-1.630000000000013e+00	-1.533109e-03
-1.600000000000013e+00	-1.531848e-03
