vbe	Ic(Q1)	Ib(Q1)
-8.000000000000000e-01	-8.021384e-01	-7.284853e-03
-7.970000000000000e-01	-7.755701e-01	-6.964995e-03
-7.940000000000000e-01	-7.491359e-01	-6.653881e-03
-7.910000000000000e-01	-7.228570e-01	-6.351391e-03
-7.880000000000000e-01	-6.967548e-01	-6.057415e-03
-7.850000000000000e-01	-6.708516e-01	-5.771845e-03
-7.820000000000000e-01	-6.451699e-01	-5.494581e-03
-7.790000000000000e-01	-6.197331e-01	-5.225528e-03
-7.760000000000000e-01	-5.945649e-01	-4.964596e-03
-7.730000000000000e-01	-5.696896e-01	-4.711701e-03
-7.700000000000000e-01	-5.451320e-01	-4.466763e-03
-7.670000000000000e-01	-5.209173e-01	-4.229709e-03
-7.640000000000000e-01	-4.970711e-01	-4.000467e-03
-7.610000000000000e-01	-4.736194e-01	-3.778972e-03
-7.580000000000000e-01	-4.505883e-01	-3.565162e-03
-7.550000000000000e-01	-4.280040e-01	-3.358977e-03
-7.520000000000000e-01	-4.058928e-01	-3.160360e-03
-7.490000000000000e-01	-3.842807e-01	-2.969256e-03
-7.460000000000000e-01	-3.631936e-01	-2.785608e-03
-7.430000000000000e-01	-3.426566e-01	-2.609361e-03
-7.400000000000000e-01	-3.226943e-01	-2.440458e-03
-7.370000000000000e-01	-3.033301e-01	-2.278837e-03
-7.340000000000000e-01	-2.845863e-01	-2.124435e-03
-7.310000000000000e-01	-2.664835e-01	-1.977179e-03
-7.280000000000000e-01	-2.490409e-01	-1.836994e-03
-7.250000000000000e-01	-2.322750e-01	-1.703793e-03
-7.220000000000000e-01	-2.162004e-01	-1.577479e-03
-7.190000000000000e-01	-2.008288e-01	-1.457947e-03
-7.160000000000000e-01	-1.861690e-01	-1.345075e-03
-7.130000000000000e-01	-1.722268e-01	-1.238732e-03
-7.100000000000000e-01	-1.590043e-01	-1.138771e-03
-7.070000000000000e-01	-1.465006e-01	-1.045030e-03
-7.040000000000000e-01	-1.347108e-01	-9.573346e-04
-7.010000000000000e-01	-1.236269e-01	-8.754936e-04
-6.980000000000000e-01	-1.132371e-01	-7.993042e-04
-6.950000000000000e-01	-1.035265e-01	-7.285505e-04
-6.919999999999999e-01	-9.447689e-02	-6.630054e-04
-6.889999999999999e-01	-8.606748e-02	-6.024325e-04
-6.859999999999999e-01	-7.827479e-02	-5.465881e-04
-6.829999999999999e-01	-7.107329e-02	-4.952227e-04
-6.799999999999999e-01	-6.443569e-02	-4.480841e-04
-6.769999999999999e-01	-5.833340e-02	-4.049188e-04
-6.739999999999999e-01	-5.273693e-02	-3.654750e-04
-6.709999999999999e-01	-4.761625e-02	-3.295041e-04
-6.679999999999999e-01	-4.294126e-02	-2.967627e-04
-6.649999999999999e-01	-3.868201e-02	-2.670145e-04
-6.619999999999999e-01	-3.480912e-02	-2.400317e-04
-6.589999999999999e-01	-3.129397e-02	-2.155959e-04
-6.559999999999999e-01	-2.810894e-02	-1.934994e-04
-6.529999999999999e-01	-2.522757e-02	-1.735457e-04
-6.499999999999999e-01	-2.262472e-02	-1.555498e-04
-6.469999999999999e-01	-2.027662e-02	-1.393386e-04
-6.439999999999999e-01	-1.816096e-02	-1.247507e-04
-6.409999999999999e-01	-1.625686e-02	-1.116364e-04
-6.379999999999999e-01	-1.454495e-02	-9.985753e-05
-6.349999999999999e-01	-1.300727e-02	-8.928663e-05
-6.319999999999999e-01	-1.162727e-02	-7.980685e-05
-6.289999999999999e-01	-1.038974e-02	-7.131125e-05
-6.259999999999999e-01	-9.280755e-03	-6.370225e-05
-6.229999999999999e-01	-8.287585e-03	-5.689104e-05
-6.199999999999999e-01	-7.398647e-03	-5.079696e-05
-6.169999999999999e-01	-6.603412e-03	-4.534689e-05
-6.139999999999999e-01	-5.892335e-03	-4.047470e-05
-6.109999999999999e-01	-5.256773e-03	-3.612065e-05
-6.079999999999999e-01	-4.688921e-03	-3.223083e-05
-6.049999999999999e-01	-4.181737e-03	-2.875674e-05
-6.019999999999999e-01	-3.728874e-03	-2.565469e-05
-5.989999999999999e-01	-3.324625e-03	-2.288546e-05
-5.959999999999999e-01	-2.963859e-03	-2.041380e-05
-5.929999999999999e-01	-2.641968e-03	-1.820812e-05
-5.899999999999999e-01	-2.354819e-03	-1.624008e-05
-5.869999999999999e-01	-2.098706e-03	-1.448430e-05
-5.839999999999999e-01	-1.870311e-03	-1.291806e-05
-5.809999999999998e-01	-1.666662e-03	-1.152104e-05
-5.779999999999998e-01	-1.485100e-03	-1.027505e-05
-5.749999999999998e-01	-1.323248e-03	-9.163844e-06
-5.719999999999998e-01	-1.178980e-03	-8.172890e-06
-5.689999999999998e-01	-1.050397e-03	-7.289218e-06
-5.659999999999998e-01	-9.358027e-04	-6.501239e-06
-5.629999999999998e-01	-8.336828e-04	-5.798611e-06
-5.599999999999998e-01	-7.426849e-04	-5.172099e-06
-5.569999999999998e-01	-6.616021e-04	-4.613463e-06
-5.539999999999998e-01	-5.893577e-04	-4.115352e-06
-5.509999999999998e-01	-5.249911e-04	-3.671206e-06
-5.479999999999998e-01	-4.676456e-04	-3.275175e-06
-5.449999999999998e-01	-4.165571e-04	-2.922041e-06
-5.419999999999998e-01	-3.710443e-04	-2.607152e-06
-5.389999999999998e-01	-3.304998e-04	-2.326357e-06
-5.359999999999998e-01	-2.943822e-04	-2.075958e-06
-5.329999999999998e-01	-2.622089e-04	-1.852658e-06
-5.299999999999998e-01	-2.335496e-04	-1.653514e-06
-5.269999999999998e-01	-2.080211e-04	-1.475906e-06
-5.239999999999998e-01	-1.852816e-04	-1.317497e-06
-5.209999999999998e-01	-1.650267e-04	-1.176205e-06
-5.179999999999998e-01	-1.469852e-04	-1.050173e-06
-5.149999999999998e-01	-1.309154e-04	-9.377462e-07
-5.119999999999998e-01	-1.166020e-04	-8.374489e-07
-5.089999999999998e-01	-1.038531e-04	-7.479665e-07
-5.059999999999998e-01	-9.249771e-05	-6.681271e-07
-5.029999999999998e-01	-8.238369e-05	-5.968861e-07
-4.999999999999998e-01	-7.337535e-05	-5.333122e-07
-4.969999999999998e-01	-6.535187e-05	-4.765756e-07
-4.939999999999998e-01	-5.820561e-05	-4.259362e-07
-4.909999999999998e-01	-5.184068e-05	-3.807347e-07
-4.879999999999998e-01	-4.617169e-05	-3.403831e-07
-4.849999999999998e-01	-4.112256e-05	-3.043573e-07
-4.819999999999998e-01	-3.662552e-05	-2.721902e-07
-4.789999999999998e-01	-3.262022e-05	-2.434653e-07
-4.759999999999998e-01	-2.905290e-05	-2.178111e-07
-4.729999999999998e-01	-2.587567e-05	-1.948967e-07
-4.699999999999998e-01	-2.304588e-05	-1.744268e-07
-4.669999999999997e-01	-2.052555e-05	-1.561383e-07
-4.639999999999997e-01	-1.828082e-05	-1.397964e-07
-4.609999999999997e-01	-1.628158e-05	-1.251918e-07
-4.579999999999997e-01	-1.450097e-05	-1.121380e-07
-4.549999999999997e-01	-1.291508e-05	-1.004684e-07
-4.519999999999997e-01	-1.150263e-05	-9.003465e-08
-4.489999999999997e-01	-1.024465e-05	-8.070424e-08
-4.459999999999997e-01	-9.124240e-06	-7.235908e-08
-4.429999999999997e-01	-8.126363e-06	-6.489379e-08
-4.399999999999997e-01	-7.237617e-06	-5.821437e-08
-4.369999999999997e-01	-6.446068e-06	-5.223693e-08
-4.339999999999997e-01	-5.741086e-06	-4.688664e-08
-4.309999999999997e-01	-5.113204e-06	-4.209670e-08
-4.279999999999997e-01	-4.553990e-06	-3.780752e-08
-4.249999999999997e-01	-4.055936e-06	-3.396589e-08
-4.219999999999997e-01	-3.612351e-06	-3.052433e-08
-4.189999999999997e-01	-3.217279e-06	-2.744046e-08
-4.159999999999997e-01	-2.865415e-06	-2.467641e-08
-4.129999999999997e-01	-2.552033e-06	-2.219840e-08
-4.099999999999997e-01	-2.272924e-06	-1.997625e-08
-4.069999999999997e-01	-2.024340e-06	-1.798301e-08
-4.039999999999997e-01	-1.802944e-06	-1.619461e-08
-4.009999999999997e-01	-1.605761e-06	-1.458954e-08
-4.000000000000000e-01	-1.544947e-06	-1.409187e-08
